,zone,pole,lat,lng
586,Uptown,2-1822,32.724881,-117.16308
587,Uptown,2-3400,32.740891,-117.163191
588,Uptown,2-3402,32.740978,-117.163192
589,Uptown,2-3404,32.741054,-117.163192
590,Uptown,2-3406,32.741129,-117.163193
591,Uptown,2-3408,32.741204,-117.163194
592,Uptown,2-3410,32.741291,-117.163195
593,Uptown,2-3413,32.741355,-117.163013
594,Uptown,3400-02-01 00:00:00,32.740891,-117.163191
595,Uptown,3402-02-01 00:00:00,32.740978,-117.163192
596,Uptown,3404-02-01 00:00:00,32.741054,-117.163192
597,Uptown,3406-02-01 00:00:00,32.741129,-117.163193
598,Uptown,3408-02-01 00:00:00,32.741204,-117.163194
599,Uptown,3410-02-01 00:00:00,32.741291,-117.163195
600,Uptown,3413-02-01 00:00:00,32.741355,-117.163013
601,Downtown,2-400E,32.709803,-117.162701
