"zone","area","sub_area","pole","config_id","config_name","date_inventory","lat","lng","sapid"
"Downtown","Gaslamp","700 FIRST AVE","1-710","49382","Sunday Mode","2021-01-04","32.712703","-117.163906","SS-000033"
"Downtown","Gaslamp","700 FIRST AVE","1-710","8997","15 Min Max $1.25 HR 10am-8pm Mon-Sat  (Mobile Pay) (NFC)","2018-11-11","32.712703","-117.163906","SS-000033"
"Downtown","Gaslamp","700 FIRST AVE","1-712","49382","Sunday Mode","2021-01-04","32.712961","-117.163956","SS-000033"
"Downtown","Gaslamp","700 FIRST AVE","1-712","8997","15 Min Max $1.25 HR 10am-8pm Mon-Sat  (Mobile Pay) (NFC)","2018-11-11","32.712961","-117.163956","SS-000033"
"Downtown","Gaslamp","700 FIRST AVE","1-714","49382","Sunday Mode","2021-01-04","32.712791","-117.163723","SS-000033"
"Downtown","Gaslamp","700 FIRST AVE","1-714","8997","15 Min Max $1.25 HR 10am-8pm Mon-Sat  (Mobile Pay) (NFC)","2018-11-11","32.712791","-117.163723","SS-000033"
"Downtown","Gaslamp","700 FIRST AVE","1-715","9001","30 Min Max $1.25 HR 10am-8pm Mon-Sat  (Mobile Pay) (NFC)","2018-11-11","32.712958","-117.163726","SS-000033"
"Downtown","Gaslamp","700 FIRST AVE","1-716","49382","Sunday Mode","2021-01-04","32.713162","-117.163921","SS-000033"
"Downtown","Gaslamp","700 FIRST AVE","1-716","8997","15 Min Max $1.25 HR 10am-8pm Mon-Sat  (Mobile Pay) (NFC)","2018-11-11","32.713162","-117.163921","SS-000033"
"Downtown","Gaslamp","700 FIRST AVE","1-717","9001","30 Min Max $1.25 HR 10am-8pm Mon-Sat  (Mobile Pay) (NFC)","2018-11-11","32.713134","-117.163727","SS-000033"
"Downtown","Gaslamp","700 FIRST AVE","1-719","9001","30 Min Max $1.25 HR 10am-8pm Mon-Sat  (Mobile Pay) (NFC)","2018-11-11","32.713212","-117.163728","SS-000033"
"Downtown","Gaslamp","700 FIRST AVE","1-721","9001","30 Min Max $1.25 HR 10am-8pm Mon-Sat  (Mobile Pay) (NFC)","2018-11-11","32.713309","-117.163728","SS-000033"
"Downtown","Gaslamp","700 FIRST AVE","1-723","9001","30 Min Max $1.25 HR 10am-8pm Mon-Sat  (Mobile Pay) (NFC)","2018-11-11","32.713388","-117.163729","SS-000033"
"Downtown","Gaslamp","700 FIRST AVE","1-725","9001","30 Min Max $1.25 HR 10am-8pm Mon-Sat  (Mobile Pay) (NFC)","2018-11-11","32.713485","-117.163730","SS-000033"
"Downtown","Gaslamp","800 FIRST AVE","1-800","49382","Sunday Mode","2021-01-04","32.714179","-117.163914","SS-000039"
"Downtown","Gaslamp","800 FIRST AVE","1-800","13442","2 Hour Max $1.25 HR 10am-8pm Mon-Sat (Mobile Pay) (NFC)","2018-11-11","32.714179","-117.163914","SS-000039"
"Downtown","Gaslamp","800 FIRST AVE","1-802","49382","Sunday Mode","2021-01-04","32.714395","-117.163916","SS-000039"
"Downtown","Gaslamp","800 FIRST AVE","1-802","13442","2 Hour Max $1.25 HR 10am-8pm Mon-Sat (Mobile Pay) (NFC)","2018-11-11","32.714395","-117.163916","SS-000039"
"Downtown","East Village","1000 TENTH AVE","10-1001","49382","Sunday Mode","2021-01-04","32.715971","-117.155529","SS-000317"
"Downtown","East Village","1000 TENTH AVE","10-1001","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.715971","-117.155529","SS-000317"
"Downtown","East Village","1000 TENTH AVE","10-1003","49382","Sunday Mode","2021-01-04","32.716162","-117.155530","SS-000317"
